Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000532801200020,10.1016/j.eswa.2020.113377,n/a,Marine Predators Algorithm: A nature-inspired metaheuristic,"Faramarzi, Afshin; Heidarinejad, Mohammad; Mirjalili, Seyedali; Gandomi, Amir H.",EXPERT SYSTEMS WITH APPLICATIONS,1201 Management Science and Engineering; 0812 Computer Science and Technology,Article,152,n/a,n/a,2020,1648,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000532801200020,41.510811,20.520305633544922,25.74316,39.7,80.3107,64.017,International - Bilateral,99.9978,6.954
WOS:000659146800046,10.1016/j.cie.2021.107250,n/a,Aquila Optimizer: A novel meta-heuristic optimization algorithm,"Abualigah, Laith; Yousri, Dalia; Abd Elaziz, Mohamed; Ewees, Ahmed A.; Al-qaness, Mohammed A. A.; Gandomi, Amir H.",COMPUTERS & INDUSTRIAL ENGINEERING,1201 Management Science and Engineering; 0812 Computer Science and Technology,Article,157,n/a,n/a,2021,1556,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000659146800046,27.786472,16.662866592407227,35.142982,56.0,93.3813,44.2763,International - Quadrilateral +,99.9979,7.18
WOS:000638010100001,10.1007/s12525-021-00475-2,n/a,Machine learning and deep learning,"Janiesch, Christian; Zschech, Patrick; Heinrich, Kai",ELECTRONIC MARKETS,1201 Management Science and Engineering; 1202 Business Administration,Article,31,3,685-695,2021,1304,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000638010100001,56.229167,16.662866592407227,15.649486,23.19,78.2578,83.3254,Domestic - Multiple,99.9957,6.017
WOS:000539339300030,10.1016/j.ijforecast.2019.07.001,n/a,DeepAR: Probabilistic forecasting with autoregressive recurrent networks,"Salinas, David; Flunkert, Valentin; Gasthaus, Jan; Januschowski, Tim",INTERNATIONAL JOURNAL OF FORECASTING,1201 Management Science and Engineering,Article,36,3,1181-1191,2020,1246,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000539339300030,49.173469,20.520305633544922,15.5512085,25.34,60.7203,80.1224,Domestic - Single,99.9955,3.779
WOS:000724139600027,10.1007/978-3-030-65965-3_28,n/a,"Interpretable Machine Learning - A Brief History, State-of-the-Art and Challenges","Molnar, Christoph; Casalicchio, Giuseppe; Bischl, Bernd",ECML PKDD 2020 WORKSHOPS,1201 Management Science and Engineering; 0820 Oil and Natural Gas Engineering; 0814 Civil Engineering; 0804 Instrumentation Science and Technology; 0401 Education; 0830 Environmental Science and Engineering; 0825 Aerospace Science and Technology; 0823 Transportation Engineering; 1002 Clinical Medicine; 0836 Biotechnology and Bioengineering; 1202 Business Administration; 0833 Urban and Rural Planning; 0813 Architecture; 0705 Geography; 0303 Sociology; 1204 Public Administration; 0810 Information and Communication Engineering; 0831 Biomedical Engineering; 1205 Library and Information Science & Archive Management; 0811 Control Science and Engineering; 0503 Journalism and Communication; 1302 Music and Dance; 0714 Statistics; 1001 Basic Medicine; 0812 Computer Science and Technology; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping; 0809 Electronic Science and Technology,Proceedings Paper,1323,n/a,417-431,2020,1108,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000724139600027,3.026936,2.4609522819519043,2.168741,366.05,450.2322,510.8955,Domestic - Single,99.9988,n/a
WOS:000515208300003,10.1016/j.im.2019.05.003,n/a,How to perform and report an impactful analysis using partial least squares: Guidelines for confirmatory and explanatory IS research,"Benitez, Jose; Henseler, Jorg; Castillo, Ana; Schuberth, Florian",INFORMATION & MANAGEMENT,1201 Management Science and Engineering; 1205 Library and Information Science & Archive Management; 0812 Computer Science and Technology,Article,57,2,n/a,2020,1108,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000515208300003,64.448598,20.520305633544922,38.15493,17.19,53.9953,29.0395,International - Quadrilateral +,99.9933,7.555
WOS:000534259900005,10.1080/09585192.2017.1416655,n/a,Partial least squares structural equation modeling in HRM research,"Ringle, Christian M.; Sarstedt, Marko; Mitchell, Rebecca; Gudergan, Siegfried P.",INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,1201 Management Science and Engineering,Article,31,12,1617-1643,2020,1099,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000534259900005,33.139785,20.520305633544922,32.517136,33.16,53.5567,33.7976,International - Trilateral,99.991,5.546
WOS:000765802100138,10.1016/j.procs.2022.01.135,n/a,A Review of Yolo Algorithm Developments,"Jiang, Peiyuan; Ergu, Daji; Liu, Fangyao; Cai, Ying; Ma, Bo",8TH INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY AND QUANTITATIVE MANAGEMENT (ITQM 2020 & 2021): DEVELOPING GLOBAL DIGITAL ECONOMY AFTER COVID-19,0810 Information and Communication Engineering; 0811 Control Science and Engineering; 1201 Management Science and Engineering; 0401 Education; 0831 Biomedical Engineering; 0823 Transportation Engineering; 1202 Business Administration; 1205 Library and Information Science & Archive Management; 0820 Oil and Natural Gas Engineering; 1204 Public Administration; 1010 Medical Technology; 1009 Special Medicine; 0830 Environmental Science and Engineering; 1004 Public Health and Preventive Medicine; 0802 Mechanical Engineering; 0503 Journalism and Communication; 0714 Statistics; 1001 Basic Medicine; 0812 Computer Science and Technology; 0835 Software Engineering; 0701 Mathematics; 0710 Biology; 0816 Surveying and Mapping,Proceedings Paper,199,n/a,1066-1073,2022,1098,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000765802100138,11.117347,2.7312870025634766,1.9846677,98.76,402.0083,553.2412,Domestic - Single,99.9977,n/a
WOS:000531066900001,10.1080/00207543.2020.1750727,n/a,Viability of intertwined supply networks: extending the supply chain resilience angles towards survivability. A position paper motivated by COVID-19 outbreak,"Ivanov, Dmitry; Dolgui, Alexandre",INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,1201 Management Science and Engineering,Article,58,10,2904-2915,2020,1085,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000531066900001,40.598253,20.520305633544922,25.74316,26.73,52.8745,42.1471,International - Bilateral,99.9888,8.568
WOS:000578468500001,10.1111/joms.12639,n/a,A Systematic Review of the Literature on Digital Transformation: Insights and Implications for Strategy and Organizational Change,"Hanelt, Andre; Bohnsack, Rene; Marz, David; Antunes Marante, Claudia",JOURNAL OF MANAGEMENT STUDIES,1201 Management Science and Engineering; 1202 Business Administration,Review,58,5,1159-1197,2020,1075,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000578468500001,347.6,53.426780700683594,64.81794,3.09,20.121,16.5849,International - Bilateral,99.934,7.388
